武汉,1号线,汉口北
南京,S1号线(机场线),空港新城江宁
广州,1号线,西塱
大连,1号线,姚家
香港,迪士尼,迪士尼
武汉,1号线,滠口新城
天津,1号线,刘园
上海,1号线,莘庄
沈阳,1号线,黎明广场
成都,1号线(五根松-韦家碾),五根松
杭州,1号线,湘湖
北京,S1线,苹果园
苏州,1号线,木渎
昆明,1号线(环城南路-大学城南),环城南路
长春,1号线,北环城路
南京,S1号线(机场线),禄口机场
重庆,1号线,朝天门
深圳,1号线/罗宝线,罗湖
宁波,1号线,霞浦
无锡,S1线,堰桥
福州,1号线,象峰
佛山,南海有轨电车1号线,礌岗
南昌,1号线,双港
青岛,1号线,东郭庄
广州,1号线,坑口
西安,1号线,咸阳西站
大连,1号线,大连北站
郑州,1号线,河南工业大学
合肥,1号线,九联圩
东莞,2号线,东莞火车站
东莞,2号线,茶山
乌鲁木齐,1号线,国际机场
厦门,1号线,镇海路
香港,迪士尼,欣澳
贵阳,1号线,小孟工业园
南宁,1号线,火车东站
温州,S1线,桐岭
长沙,1号线,金盆丘(铜官窑巴士站)
济南,1号线,方特
武汉,1号线,滕子岗
天津,1号线,瑞景新苑
上海,1号线,外环路
沈阳,1号线,滂江街
成都,1号线(五根松-韦家碾),广都
杭州,1号线,滨康路
北京,S1线,金安桥
苏州,1号线,金枫路
昆明,1号线(环城南路-大学城南),昆明火车站
长春,1号线,庆丰路
南京,S1号线(机场线),翔宇路南
重庆,1号线,小什字
深圳,1号线/罗宝线,国贸
宁波,1号线,长江路
无锡,S1线,马镇
哈尔滨,1号线,新疆大街
福州,1号线,秀山
佛山,南海有轨电车1号线,华翠路
南昌,1号线,孔目湖
青岛,1号线,沟岔
呼和浩特,1号线,伊利健康谷
广州,1号线,花地湾
常州,1号线,森林公园
西安,1号线,宝泉路
徐州,1号线,路窝
大连,1号线,华北路
郑州,1号线,郑大科技园
兰州,1号线,陈官营
合肥,1号线,丙子铺
石家庄,1号线,西王
太原,2号线,尖草坪
东莞,2号线,榴花公园
乌鲁木齐,1号线,大地窝堡
洛阳,1号线,红山
厦门,1号线,中山公园
香港,东铁线(落馬洲-金钟),金钟
贵阳,1号线,清水江路
南宁,1号线,佛子岭
温州,S1线,潘桥
长沙,1号线,金霞
济南,1号线,济南西站
武汉,1号线,堤角
天津,1号线,佳园里
上海,1号线,莲花路
沈阳,1号线,东中街
成都,1号线(五根松-韦家碾),四河
杭州,1号线,西兴
北京,S1线,四道桥
苏州,1号线,汾湖路
昆明,1号线(环城南路-大学城南),福德
长春,1号线,一匡街
南京,S1号线(机场线),翔宇路北
重庆,1号线,较场口
深圳,1号线/罗宝线,老街
宁波,1号线,中河路
无锡,S1线,青阳
哈尔滨,1号线,渤海路
福州,1号线,罗汉山
佛山,南海有轨电车1号线,夏西
南昌,1号线,长江路
青岛,1号线,农业大学
呼和浩特,1号线,西二环路
广州,1号线,芳村
常州,1号线,新龙
西安,1号线,中华西路
徐州,1号线,杏山子
大连,1号线,华南北
郑州,1号线,郑州大学
兰州,1号线,奥体中心
合肥,1号线,万年埠
石家庄,1号线,时光街
太原,2号线,涧河
东莞,2号线,下桥
乌鲁木齐,1号线,宣仁墩
洛阳,1号线,谷水
厦门,1号线,将军祠
香港,东铁线(落馬洲-金钟),会展
贵阳,1号线,长江路
南宁,1号线,百花岭
温州,S1线,动车南站
长沙,1号线,鹅羊山
济南,1号线,大杨
武汉,1号线,新荣
天津,1号线,本溪路
上海,1号线,锦江乐园
沈阳,1号线,中街
成都,1号线(五根松-韦家碾),华府大道
杭州,1号线,滨和路
北京,S1线,桥户营
苏州,1号线,玉山路
昆明,1号线(环城南路-大学城南),日新路
长春,1号线,长春站北
南京,S1号线(机场线),正方中路
重庆,1号线,七星岗
深圳,1号线/罗宝线,大剧院
宁波,1号线,松花江路
无锡,S1线,峭岐
哈尔滨,1号线,镜泊路
福州,1号线,福州火车站
佛山,南海有轨电车1号线,夏东
南昌,1号线,珠江路
青岛,1号线,正阳中路
呼和浩特,1号线,孔家营
广州,1号线,黄沙
常州,1号线,旅游学校
西安,1号线,安谷
徐州,1号线,韩山
大连,1号线,华南广场
郑州,1号线,梧桐街
兰州,1号线,兰州城市学院(省科技馆)
合肥,1号线,万达城
石家庄,1号线,长城桥
太原,2号线,胜利街
东莞,2号线,天宝
乌鲁木齐,1号线,三工
洛阳,1号线,秦岭路
厦门,1号线,文灶
香港,东铁线(落馬洲-金钟),红磡
贵阳,1号线,珠江路
南宁,1号线,埌东客运站
温州,S1线,新桥
长沙,1号线,秀峰山
济南,1号线,王府庄
武汉,1号线,丹水池
天津,1号线,勤俭道
上海,1号线,上海南站
沈阳,1号线,怀远门
成都,1号线(五根松-韦家碾),天府五街
杭州,1号线,江陵路
北京,S1线,上岸
苏州,1号线,狮子山
昆明,1号线(环城南路-大学城南),巫家坝
长春,1号线,长春站
南京,S1号线(机场线),吉印大道
重庆,1号线,两路口
深圳,1号线/罗宝线,科学馆
宁波,1号线,大碶
无锡,S1线,南闸
哈尔滨,1号线,镜泊路
福州,1号线,斗门
佛山,南海有轨电车1号线,康怡公园
南昌,1号线,庐山南大道
青岛,1号线,小寨子
呼和浩特,1号线,呼钢南路
广州,1号线,长寿路
常州,1号线,新桥
西安,1号线,陈杨寨
徐州,1号线,工农路
大连,1号线,千山路
郑州,1号线,兰寨
兰州,1号线,兰州海关
合肥,1号线,云谷路
石家庄,1号线,和平医院
太原,2号线,大北门
东莞,2号线,东城
乌鲁木齐,1号线,迎宾路口
洛阳,1号线,武汉路
厦门,1号线,湖滨东路
香港,东铁线(落馬洲-金钟),旺角东
贵阳,1号线,望城坡
南宁,1号线,凤岭
温州,S1线,德政
长沙,1号线,宿龙桥
济南,1号线,玉符河
武汉,1号线,徐州新村
天津,1号线,洪湖里
上海,1号线,漕宝路
沈阳,1号线,青年大街
成都,1号线(五根松-韦家碾),天府三街
杭州,1号线,近江
北京,S1线,栗园庄
苏州,1号线,塔园路
昆明,1号线(环城南路-大学城南),昌宏西路
长春,1号线,胜利公园
南京,S1号线(机场线),河海大学·佛城西路
重庆,1号线,鹅岭
深圳,1号线/罗宝线,华强路
宁波,1号线,邬隘
无锡,S1线,江阴高铁站
哈尔滨,1号线,瓦盆窑
福州,1号线,树兜
佛山,南海有轨电车1号线,平西
南昌,1号线,绿茵路
青岛,1号线,凤岗路
呼和浩特,1号线,西龙王庙
广州,1号线,陈家祠
常州,1号线,常州北站
西安,1号线,白马河
徐州,1号线,人民广场
大连,1号线,松江路
郑州,1号线,铁炉
兰州,1号线,马滩
合肥,1号线,金斗公园
石家庄,1号线,烈士陵园
太原,2号线,缉虎营
东莞,2号线,旗峰公园
乌鲁木齐,1号线,植物园
洛阳,1号线,长安路
厦门,1号线,莲坂
香港,东铁线(落馬洲-金钟),九龙塘
贵阳,1号线,沙冲路
南宁,1号线,东盟商务区
温州,S1线,龙霞路
长沙,1号线,开福区政府
济南,1号线,赵营
武汉,1号线,二七路
天津,1号线,西站
上海,1号线,上海体育馆
沈阳,1号线,南市场
成都,1号线(五根松-韦家碾),世纪城
杭州,1号线,婺江路
北京,S1线,小园
苏州,1号线,滨河路
昆明,1号线(环城南路-大学城南),晓东村
长春,1号线,人民广场
南京,S1号线(机场线),翠屏山
重庆,1号线,大坪
深圳,1号线/罗宝线,岗厦
宁波,1号线,宝幢
无锡,S1线,江阴中医院
哈尔滨,1号线,同江路
福州,1号线,屏山
佛山,南海有轨电车1号线,平南
南昌,1号线,卫东
青岛,1号线,流亭
呼和浩特,1号线,乌兰夫纪念馆
广州,1号线,西门口
常州,1号线,北郊中学
西安,1号线,陕西中医药大学
徐州,1号线,苏堤路
大连,1号线,东纬路
郑州,1号线,市民中心
兰州,1号线,土门墩
合肥,1号线,塘西河公园
石家庄,1号线,新百广场
太原,2号线,府西街
东莞,2号线,鸿福路
乌鲁木齐,1号线,体育中心
洛阳,1号线,上海市场
厦门,1号线,莲花路口
香港,东铁线(落馬洲-金钟),大围
贵阳,1号线,贵阳火车站
南宁,1号线,万象城
温州,S1线,惠民路
长沙,1号线,马厂
济南,1号线,紫薇路
武汉,1号线,头道街
天津,1号线,西北角
上海,1号线,徐家汇
沈阳,1号线,太原街
成都,1号线(五根松-韦家碾),锦城广场
杭州,1号线,城站
北京,S1线,石厂
苏州,1号线,西环路
昆明,1号线(环城南路-大学城南),珥季路
长春,1号线,解放大路
南京,S1号线(机场线),南京南站
重庆,1号线,石油路
深圳,1号线/罗宝线,会展中心
宁波,1号线,五乡
无锡,S1线,南门
哈尔滨,1号线,哈尔滨南站
福州,1号线,东街口
佛山,南海有轨电车1号线,玉器街
南昌,1号线,地铁大厦
青岛,1号线,仙家寨(汽车北站)
呼和浩特,1号线,附属医院
广州,1号线,公园前
常州,1号线,外国语学校
西安,1号线,沣河森林公园
徐州,1号线,徐医附院
大连,1号线,春柳
郑州,1号线,西流湖
兰州,1号线,兰州西站北广场
合肥,1号线,紫庐
石家庄,1号线,解放广场
太原,2号线,开化寺街
东莞,2号线,西平
乌鲁木齐,1号线,铁路局
洛阳,1号线,牡丹广场
厦门,1号线,吕厝
香港,东铁线(落馬洲-金钟),沙田
贵阳,1号线,河滨公园
南宁,1号线,会展中心
温州,S1线,三垟湿地
长沙,1号线,北辰三角洲
济南,1号线,大学城
武汉,1号线,黄浦路
天津,1号线,西南角
上海,1号线,衡山路
沈阳,1号线,沈阳站
成都,1号线(五根松-韦家碾),孵化园
杭州,1号线,定安路
北京,1号线八通线,古城
苏州,1号线,桐泾北路
昆明,1号线(环城南路-大学城南),星耀路
长春,1号线,东北师大
南京,1号线,中国药科大学
重庆,1号线,歇台子
深圳,1号线/罗宝线,购物公园
宁波,1号线,邱隘东
无锡,S1线,中山公园
哈尔滨,1号线,哈达
福州,1号线,南门兜
佛山,南海有轨电车1号线,中区
南昌,1号线,秋水广场
青岛,1号线,瑞金路
呼和浩特,1号线,新华广场
广州,1号线,农讲所
常州,1号线,环球港
西安,1号线,北槐
徐州,1号线,彭城广场
大连,1号线,香工街
郑州,1号线,西三环
兰州,1号线,西站什字
合肥,1号线,滨湖会展中心
石家庄,1号线,平安大街
太原,2号线,大南门
东莞,2号线,蛤地
乌鲁木齐,1号线,小西沟
洛阳,1号线,七里河
厦门,1号线,乌石浦
香港,东铁线(落馬洲-金钟),火炭
贵阳,1号线,中山西路
南宁,1号线,金湖广场
温州,S1线,龙腾路
长沙,1号线,开福寺
济南,1号线,园博园
武汉,1号线,三阳路
天津,1号线,二纬路
上海,1号线,常熟路
沈阳,1号线,云峰北街
成都,1号线(五根松-韦家碾),金融城
杭州,1号线,龙翔桥
北京,1号线八通线,八角游乐园
苏州,1号线,广济南路
昆明,1号线(环城南路-大学城南),新亚洲体育城
长春,1号线,工农广场
南京,1号线,南京交院
重庆,1号线,石桥铺
深圳,1号线/罗宝线,香蜜湖
宁波,1号线,东环南路
无锡,S1线,江阴外滩
哈尔滨,1号线,医大二院
福州,1号线,茶亭
佛山,南海有轨电车1号线,三山新城北
南昌,1号线,滕王阁
青岛,1号线,遵义路
呼和浩特,1号线,人民会堂
广州,1号线,烈士陵园
常州,1号线,新区公园
西安,1号线,上林路
徐州,1号线,民主北路
大连,1号线,中长街
郑州,1号线,秦岭路
兰州,1号线,七里河
合肥,1号线,高王
石家庄,1号线,北国商城
太原,2号线,体育馆
东莞,2号线,陈屋
乌鲁木齐,1号线,中营工
洛阳,1号线,王城公园
厦门,1号线,塘边
香港,东铁线(落馬洲-金钟),大学
贵阳,1号线,喷水池
南宁,1号线,南湖
温州,S1线,科技城
长沙,1号线,文昌阁
济南,1号线,创新谷
武汉,1号线,大智路
天津,1号线,海光寺
上海,1号线,陕西南路
沈阳,1号线,铁西广场
成都,1号线(五根松-韦家碾),高新
杭州,1号线,凤起路
北京,1号线八通线,八宝山
苏州,1号线,养育巷
昆明,1号线(环城南路-大学城南),南部汽车站
长春,1号线,繁荣路
南京,1号线,南医大·江苏经贸学院
重庆,1号线,高庙村
深圳,1号线/罗宝线,车公庙
宁波,1号线,盛莫路
无锡,1号线,堰桥
哈尔滨,1号线,黑龙江大学
福州,1号线,达道
佛山,南海有轨电车1号线,文翰湖公园(季华实验室)
南昌,1号线,万寿宫
青岛,1号线,南岭
呼和浩特,1号线,将军衙署
广州,1号线,东山口
常州,1号线,河海
西安,1号线,沣东自贸园
徐州,1号线,徐州火车站
大连,1号线,兴工街
郑州,1号线,五一公园
兰州,1号线,小西湖
合肥,1号线,骆岗
石家庄,1号线,博物院
太原,2号线,南内环
东莞,2号线,寮厦
乌鲁木齐,1号线,新疆图书馆
洛阳,1号线,解放路
厦门,1号线,火炬园
香港,东铁线(落馬洲-金钟),大埔墟
贵阳,1号线,北京路
南宁,1号线,麻村
温州,S1线,瑶溪
长沙,1号线,培元桥
济南,1号线,工研院
武汉,1号线,循礼门
天津,1号线,鞍山道
上海,1号线,一大会址·黄陂南路
沈阳,1号线,保工街
成都,1号线(五根松-韦家碾),火车南站
杭州,1号线,武林广场
北京,1号线八通线,玉泉路
苏州,1号线,乐桥
昆明,1号线(环城南路-大学城南),斗南
长春,1号线,卫星广场
南京,1号线,龙眠大道
重庆,1号线,马家岩
深圳,1号线/罗宝线,竹子林
宁波,1号线,福庆北路
无锡,1号线,锡北运河
哈尔滨,1号线,理工大学
福州,1号线,上藤
佛山,南海有轨电车1号线,三山新城南
南昌,1号线,八一馆
青岛,1号线,兴国路
呼和浩特,1号线,艺术学院
广州,1号线,杨箕
常州,1号线,奥体中心
西安,1号线,后卫寨
徐州,1号线,子房山
大连,1号线,西安路
郑州,1号线,碧沙岗
兰州,1号线,文化宫
合肥,1号线,南站南广场
石家庄,1号线,体育场
太原,2号线,王村南街
东莞,2号线,珊美
乌鲁木齐,1号线,八楼
洛阳,1号线,周王城广场
厦门,1号线,殿前
香港,东铁线(落馬洲-金钟),太和
贵阳,1号线,八鸽岩
南宁,1号线,民族广场
温州,S1线,奥体中心
长沙,1号线,五一广场
济南,2号线,王府庄
武汉,1号线,友谊路
天津,1号线,营口道
上海,1号线,人民广场
沈阳,1号线,启工街
成都,1号线(五根松-韦家碾),桐梓林
杭州,1号线,西湖文化广场
北京,1号线八通线,五棵松
苏州,1号线,临顿路
昆明,1号线(环城南路-大学城南),春融街
长春,1号线,市政府
南京,1号线,天印大道
重庆,1号线,小龙坎
重庆,1号线,沙坪坝
宁波,1号线,海晏北路
无锡,1号线,西漳
哈尔滨,1号线,学府路
福州,1号线,三叉街
佛山,南海有轨电车1号线,林岳北
南昌,1号线,八一广场
青岛,1号线,永年路
呼和浩特,1号线,东影路
广州,1号线,体育西路
常州,1号线,市民广场
西安,1号线,三桥
徐州,1号线,铜山路
大连,1号线,富国街
郑州,1号线,绿城广场
兰州,1号线,西关
合肥,1号线,合肥南站
石家庄,1号线,北宋
太原,2号线,长风街
东莞,2号线,展览中心
乌鲁木齐,1号线,王家梁
洛阳,1号线,应天门
厦门,1号线,高崎
香港,东铁线(落馬洲-金钟),粉岭
贵阳,1号线,南垭路
南宁,1号线,新民路
温州,S1线,永中
长沙,1号线,黄兴广场
济南,2号线,腊山南
武汉,1号线,利济北路
天津,1号线,小白楼
上海,1号线,新闸路
沈阳,1号线,重工街
成都,1号线(五根松-韦家碾),倪家桥
杭州,1号线,打铁关
北京,1号线八通线,万寿路
苏州,1号线,相门
昆明,1号线(环城南路-大学城南),驼峰街
长春,1号线,华庆路
南京,1号线,竹山路
深圳,1号线/罗宝线,侨城东
重庆,1号线,杨公桥
宁波,1号线,世纪大道
无锡,1号线,天一
哈尔滨,1号线,和兴路
福州,1号线,白湖亭
佛山,南海有轨电车1号线,林岳西
南昌,1号线,丁公路北
青岛,1号线,沧安路
呼和浩特,1号线,内蒙古展览馆
广州,1号线,体育中心
常州,1号线,翠竹
西安,1号线,皂河
徐州,1号线,黄山垅
大连,1号线,会展中心
郑州,1号线,医学院
兰州,1号线,省政府
合肥,1号线,望湖城
石家庄,1号线,谈固
太原,2号线,学府街
东莞,2号线,虎门火车站
乌鲁木齐,1号线,南湖北路
洛阳,1号线,丽景门
厦门,1号线,集美学村
香港,东铁线(落馬洲-金钟),上水
贵阳,1号线,雅关
南宁,1号线,朝阳广场
温州,S1线,机场
长沙,1号线,南门口
济南,2号线,腊山
武汉,1号线,崇仁路
天津,1号线,下瓦房
上海,1号线,汉中路
沈阳,1号线,迎宾路
成都,1号线(五根松-韦家碾),省体育馆
杭州,1号线,闸弄口
北京,1号线八通线,公主坟
苏州,1号线,东环路
昆明,1号线(环城南路-大学城南),联大街
长春,1号线,红嘴子
南京,1号线,小龙湾
深圳,1号线/罗宝线,华侨城
重庆,1号线,烈士墓
宁波,1号线,福明路
无锡,1号线,刘潭
哈尔滨,1号线,西大桥
福州,1号线,葫芦阵
佛山,南海有轨电车1号线,林岳东
南昌,1号线,师大南路
青岛,1号线,青岛北站
呼和浩特,1号线,内蒙古博物院
广州,1号线,广州东站
常州,1号线,常州火车站
西安,1号线,枣园
徐州,1号线,庆丰路
大连,1号线,星海广场
郑州,1号线,郑州火车站
兰州,1号线,东方红广场
合肥,1号线,葛大店
石家庄,1号线,朝晖桥
太原,2号线,南中环
乌鲁木齐,1号线,南湖广场
洛阳,1号线,洛邑古城
厦门,1号线,园博苑
香港,东铁线(落馬洲-金钟),落马洲
贵阳,1号线,贵阳北站
南宁,1号线,火车站
温州,S1线,灵昆
长沙,1号线,侯家塘
济南,2号线,二环西路
武汉,1号线,硚口路
天津,1号线,南楼
上海,1号线,上海火车站
沈阳,1号线,于洪广场
成都,1号线(五根松-韦家碾),华西坝
杭州,1号线,火车东站
北京,1号线八通线,军事博物馆
苏州,1号线,中央公园
昆明,1号线(环城南路-大学城南),谊康南路
长春,2号线,汽车公园
南京,1号线,百家湖
深圳,1号线/罗宝线,世界之窗
重庆,1号线,磁器口
宁波,1号线,樱花公园
无锡,1号线,庄前
哈尔滨,1号线,哈工大
福州,1号线,黄山
佛山,佛山2号线,南庄
南昌,1号线,彭家桥
青岛,1号线,安顺路
呼和浩特,1号线,市政府
广州,佛山2号线,广州南站
常州,1号线,博爱路
西安,1号线,汉城路
徐州,1号线,医科大学
大连,1号线,大医二院
郑州,1号线,二七广场
兰州,1号线,兰州大学
合肥,1号线,秋浦河路
石家庄,1号线,白佛
太原,2号线,晋阳街
乌鲁木齐,1号线,新兴街
洛阳,1号线,夹马营
厦门,1号线,杏林村
香港,东铁线(羅湖-金钟),金钟
贵阳,1号线,白鹭湖
南宁,1号线,白苍岭
温州,S1线,瓯江口
长沙,1号线,南湖路
济南,2号线,老屯
武汉,1号线,太平洋
天津,1号线,土城
上海,1号线,中山北路
沈阳,1号线,开发大道
成都,1号线(五根松-韦家碾),锦江宾馆
杭州,1号线,彭埠
北京,1号线八通线,木樨地
苏州,1号线,星海广场
昆明,1号线(环城南路-大学城南),大学城
长春,2号线,捷达大路
南京,1号线,胜太路
深圳,1号线/罗宝线,白石洲
重庆,1号线,石井坡
宁波,1号线,舟孟北路
无锡,1号线,民丰
哈尔滨,1号线,铁路局
福州,1号线,排下
佛山,佛山2号线,湖涌
南昌,1号线,谢家村
青岛,1号线,胜利桥(纺织谷)
呼和浩特,1号线,呼和浩特东站
广州,佛山2号线,林岳东(2号线)
常州,1号线,文化宫
西安,1号线,开远门
徐州,1号线,乔家湖
大连,1号线,黑石礁
郑州,1号线,人民路·河南中医一附院
兰州,1号线,五里铺
合肥,1号线,朱岗
石家庄,1号线,留村
太原,2号线,龙兴街
乌鲁木齐,1号线,北门
洛阳,1号线,启明南路
厦门,1号线,杏锦路
香港,东铁线(羅湖-金钟),会展
贵阳,1号线,新寨
南宁,1号线,广西大学
温州,S1线,瓯华
长沙,1号线,黄土岭
济南,2号线,八里桥
武汉,1号线,宗关
天津,1号线,陈塘庄
上海,1号线,延长路
沈阳,1号线,张士
成都,1号线(五根松-韦家碾),天府广场
杭州,1号线,七堡
北京,1号线八通线,南礼士路
苏州,1号线,东方之门
昆明,1号线(环城南路-大学城南),大学城南
长春,2号线,西湖
南京,1号线,河定桥
深圳,1号线/罗宝线,高新园
重庆,1号线,双碑
宁波,1号线,江厦桥东
无锡,1号线,无锡火车站
哈尔滨,1号线,博物馆
福州,1号线,城门
佛山,佛山2号线,绿岛湖
南昌,1号线,青山湖大道
青岛,1号线,中心医院
呼和浩特,1号线,后不塔气
广州,佛山2号线,林岳西
常州,1号线,同济桥
西安,1号线,劳动路
徐州,1号线,金龙湖
大连,1号线,学苑广场
郑州,1号线,紫荆山
兰州,1号线,省气象局
合肥,1号线,合工大南区
石家庄,1号线,火炬广场
太原,2号线,龙城公园
乌鲁木齐,1号线,南门
洛阳,1号线,塔湾
厦门,1号线,官任
香港,东铁线(羅湖-金钟),红磡
贵阳,1号线,阳关
南宁,1号线,鲁班路
温州,S1线,双瓯大道
长沙,1号线,涂家冲
济南,2号线,益康路
武汉,1号线,汉西一路
天津,1号线,复兴门
上海,1号线,上海马戏城
沈阳,1号线,四号街
成都,1号线(五根松-韦家碾),骡马市
杭州,1号线,九和路
北京,1号线八通线,复兴门
苏州,1号线,文化博览中心
昆明,1号线(环城南路-昆明南火车站),环城南路
长春,2号线,双丰
南京,1号线,双龙大道
深圳,1号线/罗宝线,深大
重庆,1号线,赖家桥
宁波,1号线,东门口
无锡,1号线,胜利门
哈尔滨,1号线,医大一院
福州,1号线,三角埕
佛山,佛山2号线,智慧新城
南昌,1号线,高新大道
青岛,1号线,水清沟
呼和浩特,1号线,什兰岱
广州,佛山2号线,石洲
常州,1号线,清凉寺
西安,1号线,玉祥门
徐州,1号线,徐州东站
大连,1号线,海事大学
郑州,1号线,燕庄
兰州,1号线,拱星墩
合肥,1号线,包公园
石家庄,1号线,石家庄东站
太原,2号线,嘉节
乌鲁木齐,1号线,二道桥
洛阳,1号线,史家湾
厦门,1号线,诚毅广场
香港,东铁线(羅湖-金钟),旺角东
贵阳,1号线,国际生态会议中心
南宁,1号线,动物园
温州,S2线,清东路
长沙,1号线,铁道学院
济南,2号线,济南站北
武汉,1号线,古田四路
天津,1号线,华山里
上海,1号线,汶水路
沈阳,1号线,七号街
成都,1号线(五根松-韦家碾),文殊院
杭州,1号线,九堡
北京,1号线八通线,西单
苏州,1号线,时代广场
昆明,1号线(环城南路-昆明南火车站),昆明火车站
长春,2号线,长春西站
南京,1号线,南京南站
深圳,1号线/罗宝线,桃园
重庆,1号线,微电园
宁波,1号线,鼓楼
无锡,1号线,三阳广场
哈尔滨,1号线,烟厂
福州,1号线,胪雷
佛山,佛山2号线,张槎
南昌,1号线,艾溪湖西
青岛,1号线,北岭
呼和浩特,1号线,白塔西
广州,佛山2号线,仙涌
常州,1号线,茶山
西安,1号线,洒金桥
徐州,2号线,客运北站
大连,1号线,七贤岭
郑州,1号线,民航路
兰州,1号线,焦家湾
合肥,1号线,大东门
石家庄,1号线,南村
太原,2号线,电子西街
乌鲁木齐,1号线,新疆大学
洛阳,1号线,杨湾
厦门,1号线,集美软件园
香港,东铁线(羅湖-金钟),九龙塘
贵阳,1号线,观山湖公园
南宁,1号线,清川
温州,S2线,旭阳路
长沙,1号线,友谊路
济南,2号线,济泺路
武汉,1号线,古田三路
天津,1号线,财经大学
上海,1号线,彭浦新村
沈阳,1号线,中央大街
成都,1号线(五根松-韦家碾),人民北路
杭州,1号线,客运中心
北京,1号线八通线,天安门西
苏州,1号线,星湖街
昆明,1号线(环城南路-昆明南火车站),福德
长春,2号线,兴隆堡
南京,1号线,花神庙
深圳,1号线/罗宝线,大新
重庆,1号线,陈家桥
宁波,1号线,西门口
无锡,1号线,南禅寺
哈尔滨,1号线,工程大学
福州,1号线,福州火车南站
佛山,佛山2号线,石湾
南昌,1号线,艾溪湖东
青岛,1号线,小村庄
呼和浩特,1号线,坝堰(机场)
广州,佛山2号线,花卉世界
常州,1号线,聚湖路
西安,1号线,北大街
徐州,2号线,李沃
大连,1号线,河口
郑州,1号线,会展中心
兰州,1号线,东岗
合肥,1号线,明光路
石家庄,1号线,洨河大道
太原,2号线,康宁街
乌鲁木齐,1号线,三屯碑
洛阳,2号线,二乔路
厦门,1号线,集美大道
香港,东铁线(羅湖-金钟),大围
贵阳,1号线,林城西路
南宁,1号线,民族大学
温州,S2线,万岙
长沙,1号线,省政府·清风
济南,2号线,生产路
武汉,1号线,古田二路
天津,1号线,双林
上海,1号线,共康路
沈阳,1号线,十三号街
成都,1号线(五根松-韦家碾),火车北站
杭州,1号线,下沙西
北京,1号线八通线,天安门东
苏州,1号线,南施街
昆明,1号线(环城南路-昆明南火车站),日新路
长春,2号线,西环城路
南京,1号线,软件大道
深圳,1号线/罗宝线,鲤鱼门
重庆,1号线,大学城
宁波,1号线,大卿桥
